,authority score,univ webpages,authority ranking
0,-0.114777483181,[u'pku.edu.cn'],70.0
1,0.329068307977,[u'tsinghua.edu.cn'],1.0
2,0.0166995531297,[u'fudan.edu.cn'],29.0
3,-0.0427283216305,[u'nju.edu.cn'],61.0
4,0.26110175806,[u'zju.edu.cn'],2.0
5,-0.0504928142832,[u'ustc.edu.cn'],62.0
6,0.237753048789,[u'sjtu.edu.cn'],3.0
7,-0.121470716092,[u'buaa.edu.cn'],71.0
8,0.15639549273,[u'nankai.edu.cn'],6.0
9,-0.013740910789,[u'tju.edu.cn'],49.0
10,0.104574499215,[u'bnu.edu.cn'],12.0
11,-0.0763714308734,[u'hit.edu.cn'],67.0
12,0.154333131274,[u'jlu.edu.cn'],8.0
13,-0.00843852302527,[u'hust.edu.cn'],46.0
14,0.0690162978592,[u'ruc.edu.cn'],19.0
15,-0.207831953704,[u'whu.edu.cn'],76.0
16,0.100763427321,[u'scu.edu.cn'],13.0
17,-0.199386427169,[u'bit.edu.cn'],74.0
18,0.116860861239,[u'tongji.edu.cn'],10.0
19,-0.201349169774,[u'xmu.edu.cn'],75.0
20,0.140448895325,[u'zsu.edu.cn'],9.0
21,-0.0144705276536,[u'dlut.edu.cn'],50.0
22,-0.109605794747,[u'cau.edu.cn'],69.0
23,0.0482450751286,[u'seu.edu.cn'],24.0
24,0.1876886956,[u'ecnu.edu.cn'],5.0
25,-0.0708925447481,[u'nwpu.edu.cn'],64.0
26,0.060764944434,[u'scut.edu.cn'],22.0
27,-0.017468566956,[u'ustb.edu.cn'],52.0
28,-0.187564706434,[u'sdu.edu.cn'],73.0
29,0.155234379219,[u'neu.edu.cn'],7.0
30,0.0823597057778,[u'bupt.edu.cn'],15.0
31,-0.00653925524466,[u'csu.edu.cn'],44.0
32,-0.00808638445084,[u'lzu.edu.cn'],45.0
33,-0.126769119452,[u'njust.edu.cn'],72.0
34,0.209827545326,[u'nip.net.cn'],4.0
35,0.0808773414811,[u'njtu.edu.cn'],16.0
36,0.0369228888535,[u'nuaa.edu.cn'],25.0
37,0.0304183680513,[u'cqu.edu.cn'],26.0
38,-0.0667262963279,[u'nenu.edu.cn'],63.0
39,-0.0793669360654,[u'jnu.edu.cn'],68.0
40,-0.0733379429525,[u'njau.edu.cn'],66.0
41,-0.00399899718797,[u'swjtu.edu.cn'],42.0
42,0.108441506701,[u'ouqd.edu.cn'],11.0
43,0.0174013551812,[u'cumt.edu.cn'],28.0
44,0.0891901720587,[u'ecust.edu.cn'],14.0
45,0.0624301042617,[u'cug.edu.cn'],21.0
46,0.00157612440237,[u'gzsums.edu.cn'],33.0
47,-0.035778384154,[u'ccnu.edu.cn'],57.0
48,-0.0404296966465,[u'hzau.edu.cn'],59.0
49,-0.00471154700699,[u'xidian.edu.cn'],43.0
50,-0.0716871404132,[u'shsmu.edu.cn'],65.0
51,0.0134540576698,[u'uestc.edu.cn'],30.0
52,0.0244792761398,[u'bfsu.edu.cn'],27.0
53,0.0806533491994,[u'shufe.edu.cn'],17.0
54,0.0635018657083,[u'nwu.edu.cn'],20.0
55,-0.0423251076919,[u'scau.edu.cn'],60.0
56,-0.0321306152756,[u'ccom.edu.cn'],55.0
57,-0.0127255950154,[u'shisu.edu.cn'],48.0
58,-0.0378521676954,[u'fzu.edu.cn'],58.0
59,0.0578491551396,[u'sdust.edu.cn'],23.0
60,0.00717143661539,[u'cun.edu.cn'],32.0
61,0.00885539309152,[u'swufe.edu.cn'],31.0
62,0.072112375297,[u'dlmu.edu.cn'],18.0
63,-0.0322091812558,[u'hfut.edu.cn'],56.0
64,-0.0200327751451,[u'uibe.edu.cn'],53.0
65,-0.0266578914279,[u'cpums.edu.cn'],54.0
66,-0.0110259534689,[u'cupl.edu.cn'],47.0
67,-0.016726778724,[u'usst.edu.cn'],51.0
68,-0.000762731593845,[u'njmu.edu.cn'],41.0
69,0.0,[u'sicau.edu.cn'],37.0
70,0.0,[u'cdut.edu.cn'],37.0
71,0.0,[u'tyut.edu.cn'],37.0
72,0.0,[u'henu.edu.cn'],37.0
73,0.0,[u'xju.edu.cn'],37.0
74,0.0,[u'znufe.edu.cn'],37.0
75,0.0,[u'njim.edu.cn'],37.0
