,hub score,univ webpages,hub ranking
0,0.0214326018282,[u'pku.edu.cn'],7.0
1,0.021228768822,[u'tsinghua.edu.cn'],16.0
2,0.0202860858209,[u'fudan.edu.cn'],34.0
3,0.0212339895621,[u'nju.edu.cn'],15.0
4,0.0107348645745,[u'zju.edu.cn'],44.0
5,0.0208420616456,[u'ustc.edu.cn'],22.0
6,0.0204931180739,[u'sjtu.edu.cn'],31.0
7,0.000338913275672,[u'buaa.edu.cn'],69.0
8,0.00764679158142,[u'nankai.edu.cn'],48.0
9,0.0206584002625,[u'tju.edu.cn'],27.0
10,0.020654478879,[u'bnu.edu.cn'],29.0
11,0.0212434672532,[u'hit.edu.cn'],13.0
12,0.0208401684356,[u'jlu.edu.cn'],23.0
13,0.0208364138583,[u'hust.edu.cn'],24.0
14,0.00871821008152,[u'ruc.edu.cn'],47.0
15,0.021239189803,[u'whu.edu.cn'],14.0
16,0.0213388414613,[u'scu.edu.cn'],9.0
17,0.000677094326873,[u'bit.edu.cn'],67.0
18,0.00522846889582,[u'tongji.edu.cn'],52.0
19,0.000978572866712,[u'xmu.edu.cn'],66.0
20,0.0210603875111,[u'zsu.edu.cn'],19.0
21,0.0054536514845,[u'dlut.edu.cn'],51.0
22,0.0205522544896,[u'cau.edu.cn'],30.0
23,0.0202092892666,[u'seu.edu.cn'],35.0
24,0.0214561866555,[u'ecnu.edu.cn'],2.0
25,0.0204447510726,[u'nwpu.edu.cn'],32.0
26,0.0208344771898,[u'scut.edu.cn'],25.0
27,0.0003381810512,[u'ustb.edu.cn'],70.0
28,0.0214538699166,[u'sdu.edu.cn'],4.0
29,0.0207710828055,[u'neu.edu.cn'],26.0
30,0.00130935643017,[u'bupt.edu.cn'],65.0
31,0.00134282312467,[u'csu.edu.cn'],64.0
32,0.0210110019003,[u'lzu.edu.cn'],20.0
33,0.00461884928278,[u'njust.edu.cn'],54.0
34,0.0102271947958,[u'nip.net.cn'],46.0
35,0.00613208212148,[u'njtu.edu.cn'],49.0
36,0.00263054930866,[u'nuaa.edu.cn'],59.0
37,0.0055963804512,[u'cqu.edu.cn'],50.0
38,0.0201290983358,[u'nenu.edu.cn'],36.0
39,0.0187102834025,[u'jnu.edu.cn'],41.0
40,0.0211794440899,[u'njau.edu.cn'],17.0
41,0.0214543216425,[u'swjtu.edu.cn'],3.0
42,0.00261118092545,[u'ouqd.edu.cn'],60.0
43,0.00307430746321,[u'cumt.edu.cn'],56.0
44,-0.0,[u'ecust.edu.cn'],74.0
45,0.0214508498565,[u'cug.edu.cn'],5.0
46,0.0206580976582,[u'gzsums.edu.cn'],28.0
47,0.0198847686635,[u'ccnu.edu.cn'],38.0
48,0.0038185397626,[u'hzau.edu.cn'],55.0
49,0.0210637690975,[u'xidian.edu.cn'],18.0
50,-0.0,[u'shsmu.edu.cn'],74.0
51,0.00258639670182,[u'uestc.edu.cn'],62.0
52,0.0213455322192,[u'bfsu.edu.cn'],8.0
53,0.021268237794,[u'shufe.edu.cn'],12.0
54,0.010677629371,[u'nwu.edu.cn'],45.0
55,0.0199202533505,[u'scau.edu.cn'],37.0
56,-0.0,[u'ccom.edu.cn'],74.0
57,0.00286921658171,[u'shisu.edu.cn'],58.0
58,0.0198105483069,[u'fzu.edu.cn'],39.0
59,0.0217533665163,[u'sdust.edu.cn'],1.0
60,0.0172753068398,[u'cun.edu.cn'],43.0
61,0.0204315817803,[u'swufe.edu.cn'],33.0
62,0.0190549602808,[u'dlmu.edu.cn'],40.0
63,-0.0,[u'hfut.edu.cn'],74.0
64,0.000221417653944,[u'uibe.edu.cn'],71.0
65,0.000613617728255,[u'cpums.edu.cn'],68.0
66,0.00288079996255,[u'cupl.edu.cn'],57.0
67,-0.0,[u'usst.edu.cn'],74.0
68,0.0021516289156,[u'njmu.edu.cn'],63.0
69,0.0212809408169,[u'sicau.edu.cn'],10.0
70,0.0185227285143,[u'cdut.edu.cn'],42.0
71,0.0214485953376,[u'tyut.edu.cn'],6.0
72,0.00492248534258,[u'henu.edu.cn'],53.0
73,0.0209686278073,[u'xju.edu.cn'],21.0
74,0.0212742951116,[u'znufe.edu.cn'],11.0
75,0.00259430200353,[u'njim.edu.cn'],61.0
