,Sapporo_Sp,Sapporo,Shiretoko,Noboribetsu,Muroran,Otaru,Esashi,Furano,Biei,Asahikawa,Kushiro,Monbetsu,Numuro,Wakkanai,Obihiro,Rumoi,Hakodate,Abashiri,Abashiri_Sp
Sapporo_Sp,0.0,0.1693597375774511,0.0,0.12562264609403476,0.0,0.26716073381120153,0.0,0.06366176649252825,0.0,0.2647308953954562,0.0,0.0,0.0,0.0,0.06050297655205929,0.04446604300813996,0.004495201069128903,0.0,0.0
Sapporo,0.06814774430966335,0.0,0.0,0.1409295352323838,0.0,0.29971377947389943,0.0,0.0714188360365272,0.0,0.29698786970151286,0.0,0.0,0.0,0.0,0.06787515333242469,0.049884148834673576,0.005042933078915088,0.0,0.0
Shiretoko,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1468288444830582,0.0,0.0,0.0,0.0,0.0,0.0,0.824210831161309,0.028960324355632783
Noboribetsu,0.06637461834594452,0.1850524359484933,0.0,0.0,0.026815345811761582,0.291915571485464,0.0,0.06956060002654985,0.0,0.2892605867516262,0.0,0.0,0.0,0.0,0.06610911987256074,0.0,0.004911721757599894,0.0,0.0
Muroran,0.0,0.0,0.0,0.3162079510703364,0.0,0.6724770642201835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011314984709480122,0.0,0.0
Otaru,0.15787811809283234,0.4401641932428165,0.0,0.32649194821597727,0.06378275970950426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011682980738869593,0.0,0.0
Esashi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Furano,0.09827044025157233,0.2739779874213837,0.0,0.2032232704402516,0.0,0.0,0.0,0.0,0.25471698113207547,0.0,0.0,0.0,0.0,0.0,0.09787735849056604,0.07193396226415094,0.0,0.0,0.0
Biei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19385867554568997,0.0,0.8061413244543101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asahikawa,0.060797665369649805,0.16950389105058367,0.0,0.1257295719844358,0.0,0.0,0.0,0.0,0.1575875486381323,0.0,0.0,0.06699902723735408,0.0,0.016658560311284046,0.0,0.04450389105058366,0.0,0.3460603112840467,0.012159533073929961
Kushiro,0.0,0.0,0.5423197492163009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06739811912225704,0.0,0.390282131661442,0.0,0.0,0.0,0.0
Monbetsu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numuro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wakkanai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Obihiro,0.1262945188178833,0.3521091184642587,0.0,0.2611770649153827,0.0,0.0,0.0,0.13235665572114172,0.0,0.0,0.1280626420813337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rumoi,0.10876658690450294,0.3032412442897542,0.0,0.0,0.0,0.0,0.0,0.11398738307591907,0.0,0.4740047857298238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hakodate,0.09288500835965076,0.2589634033067063,0.0,0.19208619728775778,0.03752554337729891,0.40850826676574403,0.010031580902842282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abashiri,0.0,0.0,0.23291820935711882,0.0,0.0,0.0,0.0,0.0,0.0,0.7334230898687311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03365870077415012
Abashiri_Sp,0.0,0.0,0.12104250481021514,0.0,0.0,0.0,0.0,0.0,0.0,0.3811439566206052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49781353856917965,0.0
