,Sapporo_Sp,Sapporo,Shiretoko,Noboribetsu,Muroran,Otaru,Esashi,Furano,Biei,Asahikawa,Kushiro,Abashiri,Monbetsu,Numuro,Wakkanai,Obihiro,Rumoi,Hakodate,Hakodate_Sp
Sapporo_Sp,0.0,0.1317704887040363,0.0,0.09774080725966537,0.0,0.20786463748936573,0.0,0.0495320918801399,0.0,0.2059740996313451,0.0,0.0,0.0,0.0,0.0,0.034596842801777106,0.003497495037338123,0.2690235371963324,0.0
Sapporo,0.05162622612287042,0.0,0.0,0.10676303562209602,0.0,0.2270521424883841,0.0,0.0541042849767682,0.0,0.2249870934434693,0.0,0.0,0.0,0.0,0.0,0.037790397521941146,0.0038203407330924108,0.2938564790913784,0.0
Shiretoko,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4792060491493384,0.5207939508506616,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Noboribetsu,0.046685340802987856,0.13015873015873014,0.0,0.0,0.018860877684407095,0.2053221288515406,0.0,0.04892623716153128,0.0,0.2034547152194211,0.0,0.0,0.0,0.0,0.0,0.03417366946778711,0.0,0.2657329598506069,0.046685340802987856
Muroran,0.0,0.0,0.0,0.15716674266605865,0.0,0.33424532603739165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4325885392916856,0.07599939200486396
Otaru,0.07720815318097592,0.21525633106856085,0.0,0.1596664607782582,0.03119209388511427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4394688079061149,0.07720815318097592
Esashi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8505678421996413,0.14943215780035862
Furano,0.1080613788631943,0.3012751242705857,0.0,0.2234709314890858,0.0,0.0,0.0,0.0,0.2800950940133996,0.0,0.0,0.0,0.0,0.0,0.0,0.07910092932785823,0.007996542035876377,0.0,0.0
Biei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19385867554568997,0.0,0.8061413244543101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asahikawa,0.09266123054114159,0.2583395107487027,0.0,0.19162342475908078,0.0,0.0,0.0,0.0,0.24017790956263899,0.0,0.0,0.10211267605633803,0.015937731653076354,0.0,0.09229058561897702,0.0,0.006856931060044477,0.0,0.0
Kushiro,0.0,0.0,0.5790794979079498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11464435146443513,0.0,0.30627615062761504,0.0,0.0,0.0
Abashiri,0.0,0.0,0.2410309996516893,0.0,0.0,0.0,0.0,0.0,0.0,0.7589690003483107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monbetsu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numuro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wakkanai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Obihiro,0.1262945188178833,0.3521091184642587,0.0,0.2611770649153827,0.0,0.0,0.0,0.13235665572114172,0.0,0.0,0.1280626420813337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rumoi,0.10876658690450294,0.3032412442897542,0.0,0.0,0.0,0.0,0.0,0.11398738307591907,0.0,0.4740047857298238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hakodate,0.08499065102838688,0.23695393506714263,0.0,0.17576066632670406,0.0343362230154683,0.3737888832228455,0.009178990311065782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08499065102838688
Hakodate_Sp,0.0,0.0,0.0,0.16322020520915548,0.03188634569850039,0.34711917916337803,0.008524072612470401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4492501973164956,0.0
