1,0.084609
2,1.54E-28
3,0.035088
4,0.031454
5,0.0050812
6,0.21232
7,3.06E-15
8,5.24E-13
9,1.73E-09
10,2.30E-13
11,7.10E-13
12,6.42E-13
13,2.53E-13
14,0.16428
15,3.82E-13
16,8.43E-14
17,1.35E-30
18,0.15505
19,0.066129
20,6.57E-29
21,2.12E-20
22,1.51E-31
23,5.99E-28
24,1.22E-11
25,1.62E-13
26,7.03E-13
27,0.014159
28,0.027936
29,1.83E-06
30,0.29649
31,0.041438
32,0.051105
33,0.10379
34,0.0040413
35,1.37E-18
36,0.06102
37,0.0036002
38,0.2495
39,0.093357
40,0.38391
41,0.18396
42,4.53E-31
43,2.10E-05
44,0.070164
45,0.32696
46,0.17814
47,3.50E-12
48,2.25E-08
49,0.023717
50,0.22447
51,2.27E-06
52,1.80E-31
53,1.42E-20
54,0.091516
55,1.19E-15
56,3.46E-18
57,0.049301
58,1.38E-31
59,1.97E-07
60,1.87E-29
61,0.11109
62,0.0011337
63,0.044554
64,1.04E-12
65,0.32473
66,0.023444
67,0.39497
68,0.12431
69,0.035536
70,8.89E-05
71,0.095155
72,0.20901
73,0.085094
74,5.20E-13
75,0.069292
76,0.042941
77,1.62E-27
78,0.096658
79,0.11966
80,5.11E-26
81,0.055428
82,5.99E-24
83,0.024324
84,1.09E-15
85,0.005265
86,6.37E-14
87,2.85E-13
88,0.066025
89,3.19E-28
90,0.078349
91,0.003158
92,0.094808
93,8.60E-17
94,0.0048443
